dataset,polluter,level,model,accuracy,f1_macro,auc_roc,score,grade,completeness,uniqueness,validity,consistency,outlier_ratio,class_balance,feature_correlation,label_consistency,feature_informativeness
SouthGermanCredit,feature_accuracy,0.9,XGBoost,0.565,0.445,0.4046,66.12,C,1.0,1.0,1.0,1.0,0.7188,0.6,1.0,0.0185,0.1158
SouthGermanCredit,feature_accuracy,0.95,LogisticRegression,0.59,0.3822,0.317,65.37,C,1.0,1.0,1.0,1.0,0.6917,0.6,1.0,0.0,0.0912
SouthGermanCredit,feature_accuracy,0.95,MLP,0.6,0.3972,0.3501,65.37,C,1.0,1.0,1.0,1.0,0.6917,0.6,1.0,0.0,0.0912
SouthGermanCredit,feature_accuracy,0.95,RandomForest,0.695,0.41,0.3998,65.37,C,1.0,1.0,1.0,1.0,0.6917,0.6,1.0,0.0,0.0912
SouthGermanCredit,feature_accuracy,0.95,SVC,0.45,0.4164,0.3351,65.37,C,1.0,1.0,1.0,1.0,0.6917,0.6,1.0,0.0,0.0912
SouthGermanCredit,feature_accuracy,0.95,XGBoost,0.705,0.4581,0.4321,65.37,C,1.0,1.0,1.0,1.0,0.6917,0.6,1.0,0.0,0.0912
SouthGermanCredit,none,0.0,LogisticRegression,0.76,0.6991,0.7926,71.44,C,1.0,1.0,1.0,1.0,0.9408,0.6,1.0,0.0869,0.3995
SouthGermanCredit,none,0.0,MLP,0.77,0.7235,0.759,71.44,C,1.0,1.0,1.0,1.0,0.9408,0.6,1.0,0.0869,0.3995
SouthGermanCredit,none,0.0,RandomForest,0.785,0.6988,0.8049,71.44,C,1.0,1.0,1.0,1.0,0.9408,0.6,1.0,0.0869,0.3995
SouthGermanCredit,none,0.0,SVC,0.74,0.674,0.781,71.44,C,1.0,1.0,1.0,1.0,0.9408,0.6,1.0,0.0869,0.3995
SouthGermanCredit,none,0.0,XGBoost,0.795,0.7415,0.8119,71.44,C,1.0,1.0,1.0,1.0,0.9408,0.6,1.0,0.0869,0.3995
SouthGermanCredit,uniqueness,0.1,LogisticRegression,0.755,0.691,0.7868,65.97,C,1.0,0.6667,1.0,1.0,0.9389,0.6,1.0,0.0869,0.3538
SouthGermanCredit,uniqueness,0.1,MLP,0.775,0.7254,0.7585,65.97,C,1.0,0.6667,1.0,1.0,0.9389,0.6,1.0,0.0869,0.3538
SouthGermanCredit,uniqueness,0.1,RandomForest,0.775,0.6799,0.7995,65.97,C,1.0,0.6667,1.0,1.0,0.9389,0.6,1.0,0.0869,0.3538
SouthGermanCredit,uniqueness,0.1,SVC,0.715,0.679,0.7798,65.97,C,1.0,0.6667,1.0,1.0,0.9389,0.6,1.0,0.0869,0.3538
SouthGermanCredit,uniqueness,0.1,XGBoost,0.81,0.759,0.813,65.97,C,1.0,0.6667,1.0,1.0,0.9389,0.6,1.0,0.0869,0.3538
SouthGermanCredit,uniqueness,0.25,LogisticRegression,0.755,0.6945,0.7821,63.69,C,1.0,0.5,1.0,1.0,0.9446,0.6,1.0,0.0869,0.3726
SouthGermanCredit,uniqueness,0.25,MLP,0.735,0.6732,0.7454,63.69,C,1.0,0.5,1.0,1.0,0.9446,0.6,1.0,0.0869,0.3726
SouthGermanCredit,uniqueness,0.25,RandomForest,0.795,0.7285,0.7998,63.69,C,1.0,0.5,1.0,1.0,0.9446,0.6,1.0,0.0869,0.3726
SouthGermanCredit,uniqueness,0.25,SVC,0.72,0.6834,0.7789,63.69,C,1.0,0.5,1.0,1.0,0.9446,0.6,1.0,0.0869,0.3726
SouthGermanCredit,uniqueness,0.25,XGBoost,0.8,0.7433,0.7829,63.69,C,1.0,0.5,1.0,1.0,0.9446,0.6,1.0,0.0869,0.3726
SouthGermanCredit,uniqueness,0.5,LogisticRegression,0.75,0.69,0.7827,60.77,C,1.0,0.3333,1.0,1.0,0.9426,0.6,1.0,0.0869,0.3323
SouthGermanCredit,uniqueness,0.5,MLP,0.74,0.6776,0.7414,60.77,C,1.0,0.3333,1.0,1.0,0.9426,0.6,1.0,0.0869,0.3323
SouthGermanCredit,uniqueness,0.5,RandomForest,0.77,0.6891,0.7986,60.77,C,1.0,0.3333,1.0,1.0,0.9426,0.6,1.0,0.0869,0.3323
SouthGermanCredit,uniqueness,0.5,SVC,0.705,0.6677,0.7764,60.77,C,1.0,0.3333,1.0,1.0,0.9426,0.6,1.0,0.0869,0.3323
SouthGermanCredit,uniqueness,0.5,XGBoost,0.77,0.7148,0.7894,60.77,C,1.0,0.3333,1.0,1.0,0.9426,0.6,1.0,0.0869,0.3323
SouthGermanCredit,uniqueness,0.75,LogisticRegression,0.755,0.6945,0.7869,60.3,C,1.0,0.25,1.0,1.0,0.9396,0.6,1.0,0.0869,0.411
