dataset,polluter,level,method,model,score,task
yelp_full,target_distribution_skew,0.5,probe,random_forest,0.5176,regression
yelp_full,target_distribution_skew,0.5,probe,mlp,0.3681,regression
yelp_full,target_distribution_skew,0.5,probe,knn,0.4663,regression
yelp_full,target_distribution_skew,0.75,probe,ridge,0.0,regression
yelp_full,target_distribution_skew,0.75,probe,random_forest,0.4101,regression
yelp_full,target_distribution_skew,0.75,probe,mlp,0.2801,regression
yelp_full,target_distribution_skew,0.75,probe,knn,0.3183,regression
yelp_full,target_distribution_skew,0.9,probe,ridge,0.0,regression
yelp_full,target_distribution_skew,0.9,probe,random_forest,0.2745,regression
yelp_full,target_distribution_skew,0.9,probe,mlp,0.1037,regression
yelp_full,target_distribution_skew,0.9,probe,knn,0.1114,regression
yelp_full,target_noise,0.1,probe,ridge,0.0,regression
yelp_full,target_noise,0.1,probe,random_forest,0.581,regression
yelp_full,target_noise,0.1,probe,mlp,0.4404,regression
yelp_full,target_noise,0.1,probe,knn,0.5155,regression
yelp_full,target_noise,0.25,probe,ridge,0.0,regression
yelp_full,target_noise,0.25,probe,random_forest,0.5831,regression
yelp_full,target_noise,0.25,probe,mlp,0.4042,regression
yelp_full,target_noise,0.25,probe,knn,0.5117,regression
yelp_full,target_noise,0.5,probe,ridge,0.0,regression
yelp_full,target_noise,0.5,probe,random_forest,0.5911,regression
yelp_full,target_noise,0.5,probe,mlp,0.2595,regression
yelp_full,target_noise,0.5,probe,knn,0.4888,regression
yelp_full,target_noise,0.75,probe,ridge,0.0,regression
yelp_full,target_noise,0.75,probe,random_forest,0.5515,regression
yelp_full,target_noise,0.75,probe,mlp,0.0,regression
yelp_full,target_noise,0.75,probe,knn,0.4451,regression
yelp_full,target_noise,0.9,probe,ridge,0.0,regression
yelp_full,target_noise,0.9,probe,random_forest,0.5646,regression
yelp_full,target_noise,0.9,probe,mlp,0.0,regression
yelp_full,target_noise,0.9,probe,knn,0.409,regression
amazon_en,none,0.0,probe,ridge,0.0,regression
amazon_en,none,0.0,probe,random_forest,0.4553,regression
amazon_en,none,0.0,probe,mlp,0.3243,regression
amazon_en,none,0.0,probe,knn,0.3756,regression
amazon_en,completeness_text,0.1,probe,ridge,0.0,regression
amazon_en,completeness_text,0.1,probe,random_forest,0.4102,regression
amazon_en,completeness_text,0.1,probe,mlp,0.0254,regression
amazon_en,completeness_text,0.1,probe,knn,0.3804,regression
amazon_en,completeness_text,0.25,probe,ridge,0.0,regression
amazon_en,completeness_text,0.25,probe,random_forest,0.3451,regression
amazon_en,completeness_text,0.25,probe,mlp,0.0,regression
amazon_en,completeness_text,0.25,probe,knn,0.3984,regression
amazon_en,completeness_text,0.5,probe,ridge,0.0,regression
amazon_en,completeness_text,0.5,probe,random_forest,0.1832,regression
amazon_en,completeness_text,0.5,probe,mlp,0.0,regression
amazon_en,completeness_text,0.5,probe,knn,0.3067,regression
amazon_en,completeness_text,0.75,probe,ridge,0.0,regression
amazon_en,completeness_text,0.75,probe,random_forest,0.0747,regression
amazon_en,completeness_text,0.75,probe,mlp,0.0,regression
amazon_en,completeness_text,0.75,probe,knn,0.2171,regression
amazon_en,completeness_text,0.9,probe,ridge,0.0,regression
amazon_en,completeness_text,0.9,probe,random_forest,0.0,regression
amazon_en,completeness_text,0.9,probe,mlp,0.0,regression
amazon_en,completeness_text,0.9,probe,knn,0.0884,regression
amazon_en,noise_injection_text,0.1,probe,ridge,0.0,regression
amazon_en,noise_injection_text,0.1,probe,random_forest,0.3373,regression
amazon_en,noise_injection_text,0.1,probe,mlp,0.0,regression
amazon_en,noise_injection_text,0.1,probe,knn,0.3414,regression
amazon_en,noise_injection_text,0.25,probe,ridge,0.0,regression
amazon_en,noise_injection_text,0.25,probe,random_forest,0.1126,regression
amazon_en,noise_injection_text,0.25,probe,mlp,0.0,regression
amazon_en,noise_injection_text,0.25,probe,knn,0.0732,regression
amazon_en,noise_injection_text,0.5,probe,ridge,0.0,regression
amazon_en,noise_injection_text,0.5,probe,random_forest,0.0056,regression
amazon_en,noise_injection_text,0.5,probe,mlp,0.0,regression
amazon_en,noise_injection_text,0.5,probe,knn,0.0,regression
amazon_en,noise_injection_text,0.75,probe,ridge,0.0,regression
amazon_en,noise_injection_text,0.75,probe,random_forest,0.0,regression
amazon_en,noise_injection_text,0.75,probe,mlp,0.0,regression
amazon_en,noise_injection_text,0.75,probe,knn,0.0,regression
amazon_en,noise_injection_text,0.9,probe,ridge,0.0,regression
amazon_en,noise_injection_text,0.9,probe,random_forest,0.0028,regression
amazon_en,noise_injection_text,0.9,probe,mlp,0.0,regression
amazon_en,noise_injection_text,0.9,probe,knn,0.0,regression
amazon_en,word_shuffle,0.1,probe,ridge,0.0,regression
amazon_en,word_shuffle,0.1,probe,random_forest,0.4645,regression
amazon_en,word_shuffle,0.1,probe,mlp,0.2635,regression
amazon_en,word_shuffle,0.1,probe,knn,0.3508,regression
amazon_en,word_shuffle,0.25,probe,ridge,0.0,regression
