dataset,polluter,level,method,model,score,task,dsc_score
20news,completeness_text,0.5,probe,random_forest,0.2102,classification,68.34666666666666
20news,completeness_text,0.5,probe,mlp,0.2886,classification,68.34666666666666
20news,completeness_text,0.5,probe,knn,0.3375,classification,68.34666666666666
20news,completeness_text,0.75,probe,logreg,0.198,classification,59.72666666666667
20news,completeness_text,0.75,probe,random_forest,0.1467,classification,59.72666666666667
20news,completeness_text,0.75,probe,mlp,0.1272,classification,59.72666666666667
20news,completeness_text,0.75,probe,knn,0.1419,classification,59.72666666666667
20news,completeness_text,0.9,probe,logreg,0.0467,classification,53.303333333333335
20news,completeness_text,0.9,probe,random_forest,0.0309,classification,53.303333333333335
20news,completeness_text,0.9,probe,mlp,0.0218,classification,53.303333333333335
20news,completeness_text,0.9,probe,knn,0.0542,classification,53.303333333333335
20news,noise_injection_text,0.1,probe,logreg,0.4319,classification,74.56333333333333
20news,noise_injection_text,0.1,probe,random_forest,0.2192,classification,74.56333333333333
20news,noise_injection_text,0.1,probe,mlp,0.4263,classification,74.56333333333333
20news,noise_injection_text,0.1,probe,knn,0.3001,classification,74.56333333333333
20news,noise_injection_text,0.25,probe,logreg,0.1998,classification,71.91000000000001
20news,noise_injection_text,0.25,probe,random_forest,0.0342,classification,71.91000000000001
20news,noise_injection_text,0.25,probe,mlp,0.1801,classification,71.91000000000001
20news,noise_injection_text,0.25,probe,knn,0.1054,classification,71.91000000000001
20news,noise_injection_text,0.5,probe,logreg,0.0517,classification,71.08333333333333
20news,noise_injection_text,0.5,probe,random_forest,0.0328,classification,71.08333333333333
20news,noise_injection_text,0.5,probe,mlp,0.0519,classification,71.08333333333333
20news,noise_injection_text,0.5,probe,knn,0.038,classification,71.08333333333333
20news,noise_injection_text,0.75,probe,logreg,0.0276,classification,71.06333333333333
20news,noise_injection_text,0.75,probe,random_forest,0.0479,classification,71.06333333333333
20news,noise_injection_text,0.75,probe,mlp,0.0526,classification,71.06333333333333
20news,noise_injection_text,0.75,probe,knn,0.0469,classification,71.06333333333333
20news,noise_injection_text,0.9,probe,logreg,0.0351,classification,70.94666666666667
20news,noise_injection_text,0.9,probe,random_forest,0.0502,classification,70.94666666666667
20news,noise_injection_text,0.9,probe,mlp,0.0298,classification,70.94666666666667
20news,noise_injection_text,0.9,probe,knn,0.0171,classification,70.94666666666667
20news,word_shuffle,0.1,probe,logreg,0.4915,classification,75.91000000000001
20news,word_shuffle,0.1,probe,random_forest,0.3729,classification,75.91000000000001
20news,word_shuffle,0.1,probe,mlp,0.4648,classification,75.91000000000001
20news,word_shuffle,0.1,probe,knn,0.4135,classification,75.91000000000001
20news,word_shuffle,0.25,probe,logreg,0.4269,classification,75.72666666666667
20news,word_shuffle,0.25,probe,random_forest,0.2696,classification,75.72666666666667
20news,word_shuffle,0.25,probe,mlp,0.4099,classification,75.72666666666667
20news,word_shuffle,0.25,probe,knn,0.3491,classification,75.72666666666667
20news,word_shuffle,0.5,probe,logreg,0.3972,classification,75.86666666666666
20news,word_shuffle,0.5,probe,random_forest,0.309,classification,75.86666666666666
20news,word_shuffle,0.5,probe,mlp,0.3967,classification,75.86666666666666
20news,word_shuffle,0.5,probe,knn,0.3499,classification,75.86666666666666
20news,word_shuffle,0.75,probe,logreg,0.423,classification,75.60000000000001
20news,word_shuffle,0.75,probe,random_forest,0.274,classification,75.60000000000001
20news,word_shuffle,0.75,probe,mlp,0.3919,classification,75.60000000000001
20news,word_shuffle,0.75,probe,knn,0.3545,classification,75.60000000000001
20news,word_shuffle,0.9,probe,logreg,0.3537,classification,75.67
20news,word_shuffle,0.9,probe,random_forest,0.2523,classification,75.67
20news,word_shuffle,0.9,probe,mlp,0.348,classification,75.67
20news,word_shuffle,0.9,probe,knn,0.3495,classification,75.67
20news,class_balance,0.1,probe,logreg,0.5225,classification,79.16666666666667
20news,class_balance,0.1,probe,random_forest,0.423,classification,79.16666666666667
20news,class_balance,0.1,probe,mlp,0.4553,classification,79.16666666666667
20news,class_balance,0.1,probe,knn,0.338,classification,79.16666666666667
20news,class_balance,0.25,probe,logreg,0.5225,classification,77.47
20news,class_balance,0.25,probe,random_forest,0.423,classification,77.47
20news,class_balance,0.25,probe,mlp,0.4553,classification,77.47
20news,class_balance,0.25,probe,knn,0.338,classification,77.47
20news,class_balance,0.5,probe,logreg,0.5,classification,74.64999999999999
20news,class_balance,0.5,probe,random_forest,0.3526,classification,74.64999999999999
20news,class_balance,0.5,probe,mlp,0.4705,classification,74.64999999999999
20news,class_balance,0.5,probe,knn,0.3246,classification,74.64999999999999
20news,class_balance,0.75,probe,logreg,0.5,classification,73.45666666666666
20news,class_balance,0.75,probe,random_forest,0.3526,classification,73.45666666666666
20news,class_balance,0.75,probe,mlp,0.4705,classification,73.45666666666666
20news,class_balance,0.75,probe,knn,0.3246,classification,73.45666666666666
20news,class_balance,0.9,probe,logreg,0.5,classification,72.69
20news,class_balance,0.9,probe,random_forest,0.3526,classification,72.69
20news,class_balance,0.9,probe,mlp,0.4705,classification,72.69
20news,class_balance,0.9,probe,knn,0.3246,classification,72.69
20news,label_swap,0.1,probe,logreg,0.4403,classification,75.56666666666666
20news,label_swap,0.1,probe,random_forest,0.3801,classification,75.56666666666666
20news,label_swap,0.1,probe,mlp,0.4657,classification,75.56666666666666
20news,label_swap,0.1,probe,knn,0.4157,classification,75.56666666666666
20news,label_swap,0.25,probe,logreg,0.4155,classification,73.79666666666667
20news,label_swap,0.25,probe,random_forest,0.4042,classification,73.79666666666667
20news,label_swap,0.25,probe,mlp,0.4232,classification,73.79666666666667
20news,label_swap,0.25,probe,knn,0.3856,classification,73.79666666666667
20news,label_swap,0.5,probe,logreg,0.2706,classification,72.79333333333334
20news,label_swap,0.5,probe,random_forest,0.293,classification,72.79333333333334
20news,label_swap,0.5,probe,mlp,0.2527,classification,72.79333333333334
20news,label_swap,0.5,probe,knn,0.3142,classification,72.79333333333334
20news,label_swap,0.75,probe,logreg,0.1087,classification,71.77
20news,label_swap,0.75,probe,random_forest,0.1506,classification,71.77
20news,label_swap,0.75,probe,mlp,0.1036,classification,71.77
20news,label_swap,0.75,probe,knn,0.1291,classification,71.77
20news,label_swap,0.9,probe,logreg,0.0859,classification,72.09666666666668
20news,label_swap,0.9,probe,random_forest,0.0761,classification,72.09666666666668
20news,label_swap,0.9,probe,mlp,0.0669,classification,72.09666666666668
20news,label_swap,0.9,probe,knn,0.0585,classification,72.09666666666668
